0.00353726               0.00518946               0.00289416               0.999297               
0.00320278               0.00498882               0.00318465               0.99871               
0.00307727               0.00489155               0.00309662               0.999027               
0.00307275               0.00491412               0.00325709               0.999331               
0.00284361               0.00487516               0.00313828               0.99926               
0.0028479               0.0047638               0.00315795               0.999673               
0.00336084               0.00519296               0.00308713               0.999356               
0.00278286               0.00469613               0.00320785               0.999585               
0.00259184               0.00464585               0.00331561               0.999628               
0.00144448               0.0039865               0.00391479               1               
0.00138974               0.00392621               0.00341037               1               
0.00112643               0.00389037               0.00282593               0.999957               
0.00349908               0.00532827               0.00332861               0.998822               
0.00323861               0.00514166               0.00299726               0.998965               
0.0031301               0.00491422               0.00303278               0.999217               
0.00288003               0.00478567               0.0031882               0.999619               
0.0032893               0.00502025               0.00320126               0.999336               
0.00367587               0.00533609               0.00358531               0.998333               
0.00370735               0.00537928               0.00317394               0.998443               
0.00337976               0.00523458               0.00321383               0.998931               
0.00337904               0.00510795               0.0037502               0.99855               
0.00304522               0.00490974               0.00330871               0.999446               
0.00337591               0.00510608               0.0028767               0.998477               
0.00368672               0.00526263               0.00293632               0.998678               
0.00345318               0.00511472               0.00342835               0.998933               
0.00306234               0.00496133               0.0032927               0.999031               
0.0034299               0.00528636               0.00340371               0.999533               
0.0028674               0.00482568               0.00389162               0.99926               
0.00298618               0.00483813               0.00295694               0.999164               
0.00158751               0.00399693               0.00301446               0.998883               
0.00139947               0.00394138               0.00293259               0.999005               
0.00136705               0.00391744               0.00311121               0.998468               
0.00374456               0.00541328               0.00317531               0.998624               
0.00336887               0.00504072               0.00324               0.999541               
0.00307306               0.0049426               0.00329913               0.999105               
0.0028029               0.00471501               0.00350934               0.998843               
0.00344701               0.00517028               0.00316796               0.998745               
0.00351857               0.00519052               0.00326539               0.998515               
0.00318066               0.00499634               0.00327299               0.999               
0.00349033               0.00519716               0.00340539               0.998018               
